PARADA,NOMBRE,COMENTARIO,TIPO,ZONA,LATITUD,LONGITUD,MUNICIPIO,CODIGO_BARRIO,ID_LINEA,SENTIDO,FECHA
2462,AV.POBLADOS-EUGENIA DE MONTIJO,Av los Poblados con  Eugenia de Montijo,EXTERIOR,A,40.37820586154196,-3.747638376510599,MADRID,17,121,VUELTA,20240117
2462,AV.POBLADOS-EUGENIA DE MONTIJO,Av los Poblados con  Eugenia de Montijo,EXTERIOR,A,40.37820586154196,-3.747638376510599,MADRID,17,131,VUELTA,20240117
2463,AV.POBLADOS-EUGENIA DE MONTIJO,Av. de los Poblados S/N con C/ Durazno,EXTERIOR,A,40.37798943041477,-3.7476713245876487,MADRID,17,131,IDA,20240117
2463,AV.POBLADOS-EUGENIA DE MONTIJO,Av. de los Poblados S/N con C/ Durazno,EXTERIOR,A,40.37798943041477,-3.7476713245876487,MADRID,17,121,IDA,20240117
2463,AV.POBLADOS-EUGENIA DE MONTIJO,Av. de los Poblados S/N con C/ Durazno,EXTERIOR,A,40.37798943041477,-3.7476713245876487,MADRID,17,47,VUELTA,20240117
2464,PELICANO-ARGUESO,"Pelícano, 12",EXTERIOR,A,40.38557282671216,-3.725393875044241,MADRID,13,247,IDA,20240117
2465,PELICANO-Cº VIEJO LEGANES,"Pelícano, 38",EXTERIOR,A,40.38555831898213,-3.7277028947800233,MADRID,13,247,IDA,20240117
2466,PZA.TARIFA,"Pza. de Tarifa, 2",EXTERIOR,A,40.386107641916816,-3.729169725437985,MADRID,17,247,IDA,20240117
2467,CLARA CAMPOAMOR-ALVAREZ AVELLAN,Clara Campoamor frente al Nº 15,EXTERIOR,A,40.386790275365975,-3.732346369828961,MADRID,17,247,VUELTA,20240117
2467,CLARA CAMPOAMOR-ALVAREZ AVELLAN,Clara Campoamor frente al Nº 15,EXTERIOR,A,40.386790275365975,-3.732346369828961,MADRID,17,247,IDA,20240117
2468,CLARA CAMPOAMOR-AVEFRIA,Clara Campoamor frente al Nº 31,EXTERIOR,A,40.38523315405168,-3.732117438659196,MADRID,17,247,VUELTA,20240117
2469,ALVAREZ AVELLAN-PZA.TARIFA,"Pza. de Tarifa, 4",EXTERIOR,A,40.38567575536136,-3.729082597284107,MADRID,17,247,VUELTA,20240117
2470,Cº VIEJO LEGANES-PELICANO,"Cº Viejo de Leganés, 141",EXTERIOR,A,40.38590994594931,-3.72765955282956,MADRID,13,247,VUELTA,20240117
2470,Cº VIEJO LEGANES-PELICANO,"Cº Viejo de Leganés, 141",EXTERIOR,A,40.38590994594931,-3.72765955282956,MADRID,13,118,VUELTA,20240117
2470,Cº VIEJO LEGANES-PELICANO,"Cº Viejo de Leganés, 141",EXTERIOR,A,40.38590994594931,-3.72765955282956,MADRID,13,516,VUELTA,20240117
2471,AV.OPORTO-Cº VIEJO LEGANES,"Av. de Oporto, 49",EXTERIOR,A,40.3879102978014,-3.7261729957844807,MADRID,16,247,VUELTA,20240117
2471,AV.OPORTO-Cº VIEJO LEGANES,"Av. de Oporto, 49",EXTERIOR,A,40.3879102978014,-3.7261729957844807,MADRID,16,81,IDA,20240117
2471,AV.OPORTO-Cº VIEJO LEGANES,"Av. de Oporto, 49",EXTERIOR,A,40.3879102978014,-3.7261729957844807,MADRID,16,517,VUELTA,20240117
2471,AV.OPORTO-Cº VIEJO LEGANES,"Av. de Oporto, 49",EXTERIOR,A,40.3879102978014,-3.7261729957844807,MADRID,16,55,VUELTA,20240117
2471,AV.OPORTO-Cº VIEJO LEGANES,"Av. de Oporto, 49",EXTERIOR,A,40.3879102978014,-3.7261729957844807,MADRID,16,108,IDA,20240117
2472,AV.OPORTO-PORTALEGRE,"Av. de Oporto, 25",EXTERIOR,A,40.38717962709072,-3.722006176083344,MADRID,16,517,VUELTA,20240117
2472,AV.OPORTO-PORTALEGRE,"Av. de Oporto, 25",EXTERIOR,A,40.38717962709072,-3.722006176083344,MADRID,16,81,IDA,20240117
2472,AV.OPORTO-PORTALEGRE,"Av. de Oporto, 25",EXTERIOR,A,40.38717962709072,-3.722006176083344,MADRID,16,247,VUELTA,20240117
2472,AV.OPORTO-PORTALEGRE,"Av. de Oporto, 25",EXTERIOR,A,40.38717962709072,-3.722006176083344,MADRID,16,55,VUELTA,20240117
2474,MARTINEZ IZQUIERDO-FCO.SILVELA,"Martínez Izquierdo, 28",EXTERIOR,A,40.43452985175185,-3.6698461959335225,MADRID,96,503,IDA,20240117
2475,MARTINEZ IZQUIERDO-ALBERTO MARTIN,"Martínez Izquierdo, 84",EXTERIOR,A,40.43703254728715,-3.660768757216714,MADRID,96,48,IDA,20240117
2476,BRESCIA,"Brescia, 3",EXTERIOR,A,40.4383695564316,-3.661701525465533,MADRID,96,48,VUELTA,20240117
2477,AV.DONOSTIARRA-PZA.JOSE BANUS,"Av. Donostiarra, 26",EXTERIOR,A,40.43644303293855,-3.655127168420738,MADRID,40,48,IDA,20240117
2477,AV.DONOSTIARRA-PZA.JOSE BANUS,"Av. Donostiarra, 26",EXTERIOR,A,40.43644303293855,-3.655127168420738,MADRID,40,21,IDA,20240117
2478,AV.DONOSTIARRA-PZA.JOSE BANUS,"Av. Donostiarra, 25",EXTERIOR,A,40.43661472949196,-3.65503451140932,MADRID,40,21,VUELTA,20240117
2478,AV.DONOSTIARRA-PZA.JOSE BANUS,"Av. Donostiarra, 25",EXTERIOR,A,40.43661472949196,-3.65503451140932,MADRID,40,48,VUELTA,20240117
2480,AV.REINA VICTORIA-CUATRO CAMINOS,,EXTERIOR,A,40.44887603153189,-3.704069155260001,MADRID,108,91,VUELTA,20240117
2480,AV.REINA VICTORIA-CUATRO CAMINOS,,EXTERIOR,A,40.44887603153189,-3.704069155260001,MADRID,108,91,IDA,20240117
2481,AV.REINA VICTORIA-CUATRO CAMINOS,,EXTERIOR,A,40.44885988163887,-3.70376238002656,MADRID,108,127,IDA,20240117
2481,AV.REINA VICTORIA-CUATRO CAMINOS,,EXTERIOR,A,40.44885988163887,-3.70376238002656,MADRID,108,127,VUELTA,20240117
2482,GTA. CUATRO CAMINOS,"Bravo Murillo, 109",EXTERIOR,A,40.44911627925627,-3.703081083274707,MADRID,111,128,IDA,20240117
2482,GTA. CUATRO CAMINOS,"Bravo Murillo, 109",EXTERIOR,A,40.44911627925627,-3.703081083274707,MADRID,111,128,VUELTA,20240117
2483,POBLADURA VALLE-PARAMENTO,Pobladura del Valle  frente  Paramento,EXTERIOR,A,40.42973499669522,-3.611701205748728,MADRID,102,48,VUELTA,20240117
2483,POBLADURA VALLE-PARAMENTO,Pobladura del Valle  frente  Paramento,EXTERIOR,A,40.42973499669522,-3.611701205748728,MADRID,102,167,VUELTA,20240117
2483,POBLADURA VALLE-PARAMENTO,Pobladura del Valle  frente  Paramento,EXTERIOR,A,40.42973499669522,-3.611701205748728,MADRID,102,153,IDA,20240117
2484,ALBAIDA-AV.CANILLEJAS,"Albaida, 94",EXTERIOR,A,40.43574604887473,-3.6113194368021633,MADRID,101,165,IDA,20240117
2484,ALBAIDA-AV.CANILLEJAS,"Albaida, 94",EXTERIOR,A,40.43574604887473,-3.6113194368021633,MADRID,101,38,IDA,20240117
2484,ALBAIDA-AV.CANILLEJAS,"Albaida, 94",EXTERIOR,A,40.43574604887473,-3.6113194368021633,MADRID,101,153,IDA,20240117
2485,AV.CANILLEJAS A VICALVARO-ALBAIDA,Av Canillejas a Vicálvaro frente Nº71,EXTERIOR,A,40.4350017613108,-3.610664236125266,MADRID,101,167,VUELTA,20240117
2485,AV.CANILLEJAS A VICALVARO-ALBAIDA,Av Canillejas a Vicálvaro frente Nº71,EXTERIOR,A,40.4350017613108,-3.610664236125266,MADRID,101,48,VUELTA,20240117
2486,AV.CANILLEJAS Nº 68,"Av. de Canillejas a Vicálvaro, 68",EXTERIOR,A,40.43325620709009,-3.610247589058944,MADRID,104,167,VUELTA,20240117
2486,AV.CANILLEJAS Nº 68,"Av. de Canillejas a Vicálvaro, 68",EXTERIOR,A,40.43325620709009,-3.610247589058944,MADRID,104,48,VUELTA,20240117
2489,ETRURIA-TROYA,"Etruria, 13",EXTERIOR,A,40.43792360089226,-3.610112928209239,MADRID,101,140,VUELTA,20240117
2489,ETRURIA-TROYA,"Etruria, 13",EXTERIOR,A,40.43792360089226,-3.610112928209239,MADRID,101,48,VUELTA,20240117
